id,year,state_name,state_code,district_name,district_code,region,population_group,no_of_offices,no_of_accounts,deposit_amount,log_no_of_offices,log_no_of_accounts,log_deposit_amount
0,2022,Andaman and Nicobar Islands,35,North and Middle Andaman,632,Eastern Region,Rural,10,108,729,2.3978952727983707,4.6913478822291435,6.593044534142437
1,2022,Andaman and Nicobar Islands,35,South Andamans,602,Eastern Region,Rural,13,106,775,2.6390573296152584,4.672828834461906,6.654152520183219
2,2022,Andaman and Nicobar Islands,35,South Andamans,602,Eastern Region,Semi-urban,10,64,463,2.3978952727983707,4.174387269895637,6.139884552226255
3,2022,Andaman and Nicobar Islands,35,South Andamans,602,Eastern Region,Urban,36,301,4620,3.6109179126442243,5.71042701737487,8.438366410870266
4,2022,Andaman and Nicobar Islands,35,North and Middle Andaman,632,Eastern Region,Rural,0,0,0,0.0,0.0,0.0
5,2022,Andaman and Nicobar Islands,35,South Andamans,602,Eastern Region,Rural,0,0,0,0.0,0.0,0.0
6,2022,Andaman and Nicobar Islands,35,South Andamans,602,Eastern Region,Semi-urban,0,0,0,0.0,0.0,0.0
7,2022,Andaman and Nicobar Islands,35,South Andamans,602,Eastern Region,Urban,0,0,0,0.0,0.0,0.0
8,2022,Andhra Pradesh,28,Anantapur,502,Southern Region,Rural,160,2128,3306,5.081404364984463,7.663407664893479,8.103796712981794
9,2022,Andhra Pradesh,28,Anantapur,502,Southern Region,Semi-urban,124,2549,6301,4.8283137373023015,7.843848638152472,8.74862232231722
10,2022,Andhra Pradesh,28,Anantapur,502,Southern Region,Urban,177,4624,12495,5.181783550292085,8.439231649946526,9.433163872079467
11,2022,Andhra Pradesh,28,Chittoor,503,Southern Region,Rural,240,2678,10711,5.484796933490655,7.893198869544609,9.279119887371008
12,2022,Andhra Pradesh,28,Chittoor,503,Southern Region,Semi-urban,162,2677,6937,5.093750200806762,7.8928255262511176,8.844768827529695
13,2022,Andhra Pradesh,28,Chittoor,503,Southern Region,Urban,207,2586,24021,5.337538079701318,7.8582541821860294,10.086725356114435
14,2022,Andhra Pradesh,28,East Godavari,505,Southern Region,Rural,258,3321,6661,5.556828061699537,8.10832229017324,8.804175018753625
15,2022,Andhra Pradesh,28,East Godavari,505,Southern Region,Semi-urban,306,4058,10148,5.726847747587197,8.308691916838898,9.225130457448818
16,2022,Andhra Pradesh,28,East Godavari,505,Southern Region,Urban,251,2786,19823,5.529429087511423,7.932721027481948,9.894648603868923
17,2022,Andhra Pradesh,28,Guntur,506,Southern Region,Rural,285,2335,6445,5.655991810819852,7.756195343948118,8.771215062375383
18,2022,Andhra Pradesh,28,Guntur,506,Southern Region,Semi-urban,239,3256,9685,5.480638923341991,8.088561805276234,9.178436822963175
19,2022,Andhra Pradesh,28,Guntur,506,Southern Region,Urban,332,3726,26754,5.808142489980444,8.223358899479258,10.194476650745406
20,2022,Andhra Pradesh,28,Krishna,510,Southern Region,Rural,230,2146,4997,5.442417710521793,7.671826797878781,8.516793111394898
21,2022,Andhra Pradesh,28,Krishna,510,Southern Region,Semi-urban,239,2827,10649,5.480638923341991,7.947325027016463,9.273315171137572
22,2022,Andhra Pradesh,28,Krishna,510,Southern Region,Urban,67,2638,4261,4.219507705176107,7.878155336503324,8.357493812658563
23,2022,Andhra Pradesh,28,Krishna,510,Southern Region,Metropolitan,350,3288,38461,5.860786223465865,8.098338846189057,10.557426019870793
24,2022,Andhra Pradesh,28,Kurnool,511,Southern Region,Rural,162,1759,2618,5.093750200806762,7.473069088032197,7.870547844507712
25,2022,Andhra Pradesh,28,Kurnool,511,Southern Region,Semi-urban,119,2445,4925,4.787491742782046,7.802209316247118,8.502282578680484
26,2022,Andhra Pradesh,28,Kurnool,511,Southern Region,Urban,193,4338,12238,5.267858159063328,8.37539918579835,9.412382853382338
27,2022,Andhra Pradesh,28,Prakasam,517,Southern Region,Rural,199,2114,3921,5.298317366548036,7.656810091480378,8.274357006756292
28,2022,Andhra Pradesh,28,Prakasam,517,Southern Region,Semi-urban,205,3160,8519,5.327876168789581,8.058643712215618,9.050171619823361
29,2022,Andhra Pradesh,28,Prakasam,517,Southern Region,Urban,78,835,5133,4.3694478524670215,6.728628613084702,8.543640361431086
30,2022,Andhra Pradesh,28,Spsr Nellore,515,Southern Region,Rural,151,1521,2872,5.0238805208462765,7.3277805384216315,7.96311205897929
31,2022,Andhra Pradesh,28,Spsr Nellore,515,Southern Region,Semi-urban,149,2296,5594,5.0106352940962555,7.739359202689098,8.629628620746026
32,2022,Andhra Pradesh,28,Spsr Nellore,515,Southern Region,Urban,128,1509,10586,4.859812404361672,7.31986492980897,9.26738211234338
33,2022,Andhra Pradesh,28,Srikakulam,519,Southern Region,Rural,150,2090,3739,5.017279836814924,7.645397699428633,8.226840890408578
34,2022,Andhra Pradesh,28,Srikakulam,519,Southern Region,Semi-urban,110,1740,4398,4.709530201312334,7.462214939768189,8.389132521348719
35,2022,Andhra Pradesh,28,Srikakulam,519,Southern Region,Urban,61,657,3619,4.127134385045092,6.489204931325317,8.194229304819817
36,2022,Andhra Pradesh,28,Visakhapatanam,520,Southern Region,Rural,153,2394,3894,5.0369526024136295,7.781138509845015,8.267448958304849
37,2022,Andhra Pradesh,28,Visakhapatanam,520,Southern Region,Semi-urban,111,1514,3924,4.718498871295094,7.323170717943469,8.275121630216509
38,2022,Andhra Pradesh,28,Visakhapatanam,520,Southern Region,Metropolitan,528,5472,54393,6.270988431858299,8.607582191143917,10.904009132643543
39,2022,Andhra Pradesh,28,Vizianagaram,521,Southern Region,Rural,139,1699,2796,4.941642422609304,7.438383530044307,7.936302693201959
40,2022,Andhra Pradesh,28,Vizianagaram,521,Southern Region,Semi-urban,102,1376,3256,4.634728988229636,7.227662498728654,8.088561805276234
41,2022,Andhra Pradesh,28,Vizianagaram,521,Southern Region,Urban,78,1159,4449,4.3694478524670215,7.05617528410041,8.400659375160286
